Rank,RO,ST,Locid,City,Airport Name,S/L,Hub,CY2007 Enplanements,CY 2006 Enplanements,% Change
328.0,CE,KS,FOE,Topeka,Forbes Field,P,N,24316.0,17924.0,0.3566
329.0,SO,GA,BQK,Brunswick,Brunswick Golden Isles,P,N,24153.0,26725.0,-0.0962
330.0,AL,AK,ANI,Aniak,Aniak,P,N,23803.0,26041.0,-0.0859
331.0,AL,AK,LHD,Anchorage,Lake Hood,P,N,23647.0,18540.0,0.2755
332.0,NM,WY,RKS,Rock Springs,Rock Springs-Sweetwater County,P,N,22730.0,18435.0,0.233
333.0,GL,WI,EAU,Eau Claire,Chippewa Valley Regional,P,N,22705.0,22823.0,-0.0052
335.0,GL,MN,BJI,Bemidji,Bemidji Regional,P,N,22302.0,26057.0,-0.1441
336.0,WP,MP,TNI,Tinian (Municipality),Tinian International,P,N,22121.0,30444.0,-0.2734
337.0,WP,CA,OXR,Oxnard,Oxnard,P,N,21369.0,23731.0,-0.0995
338.0,SO,FL,SGJ,Saint Augustine,St Augustine,P,N,21331.0,326.0,64.4325
339.0,NM,WY,SHR,Sheridan,Sheridan County,P,N,21323.0,13654.0,0.5617
340.0,AL,AK,PSG,Petersburg,Petersburg James A Johnson,P,N,20543.0,19898.0,0.0324
341.0,GL,MN,BRD,Brainerd,Brainerd Lakes Regional,P,N,18600.0,19206.0,-0.0316
342.0,NM,WY,CYS,Cheyenne,Cheyenne Regional/Jerry Olson Field,P,N,18116.0,15469.0,0.1711
343.0,GL,MN,INL,International Falls,Falls International,P,N,17923.0,18475.0,-0.0299
344.0,NE,MA,CEF,Springfield/Chicopee,Westover ARB/Metropolitan,P,N,17839.0,2193.0,7.1345
345.0,SW,TX,DRT,Del Rio,Del Rio International,P,N,17651.0,16967.0,0.0403
346.0,EA,PA,LBE,Latrobe,Arnold Palmer Regional,P,N,17593.0,18106.0,-0.0283
347.0,GL,OH,YNG,Youngstown/Warren,Youngstown-Warren Regional,P,N,17572.0,12479.0,0.4081
348.0,WP,AZ,PGA,Page,Page Municipal,P,N,17405.0,21810.0,-0.202
349.0,AL,AK,CDV,Cordova,Merle K (Mudhole) Smith,P,N,16759.0,17442.0,-0.0392
350.0,NE,MA,BED,Bedford,Laurence G Hanscom Field,P,N,16568.0,14560.0,0.1379
351.0,GL,MI,CVX,Charlevoix,Charlevoix Municipal,P,N,16544.0,14133.0,0.1706
352.0,NM,CO,TEX,Telluride,Telluride Regional,P,N,16464.0,16438.0,0.0016
354.0,EA,NJ,TEB,Teterboro,Teterboro,P,N,16243.0,15377.0,0.0563
355.0,AL,AK,VDZ,Valdez,Valdez Pioneer Field,P,N,16225.0,15457.0,0.0497
356.0,GL,IN,GYY,Gary,Gary/Chicago International,P,N,16223.0,2512.0,5.4582
357.0,GL,SD,PIR,Pierre,Pierre Regional,P,N,16176.0,16731.0,-0.0332
358.0,CE,MO,JLN,Joplin,Joplin Regional,P,N,15816.0,11498.0,0.3755
359.0,NM,WY,RIW,Riverton,Riverton Regional,P,N,15721.0,14184.0,0.1084
360.0,NE,ME,PQI,Presque Isle,Northern Maine Regional Airport at Presque Isle,P,N,15591.0,16529.0,-0.0567
361.0,SO,MS,MEI,Meridian,Key Field,P,N,15425.0,21479.0,-0.2819
