CY 02 Rank,RO,State,Locid,Airport Name,City,Svc Lvl,Hub,CY 2002 Boardings,CY 2001 Boardings,% Change
1181.0,GL,WI,AIG,Langlade County,Antigo,GA,None,30.0,0.0,0.0
1185.0,GL,SD,MHE,Mitchell Municipal,Mitchell,GA,None,30.0,10.0,2.0
1188.0,NM,WA,S43,Harvey Field,Snohomish,GA,None,30.0,5.0,5.0
1187.0,SO,AL,PLR,St Clair County,Pell City,GA,None,30.0,0.0,0.0
1189.0,SO,NC,TDF,Person County,Roxboro,GA,None,30.0,0.0,0.0
1190.0,GL,SD,1D8,Redfield Municipal,Redfield,GA,None,29.0,0.0,0.0
1191.0,GL,IN,C62,Kendallville Municipal,Kendallville,GA,None,29.0,0.0,0.0
1192.0,GL,OH,HTW,Lawrence County Airpark,Chesapeake,GA,None,29.0,0.0,0.0
1194.0,NE,MA,LWM,Lawrence Municipal,Lawrence,GA,None,29.0,343.0,-0.9155
1193.0,SO,FL,ISM,Kissimmee Gateway,Kissimmee,GA,None,29.0,242.0,-0.8802
1195.0,WP,CA,TRK,Truckee - Tahoe,Truckee,GA,None,29.0,139.0,-0.7914
