Rank,ST,Locid,City,Airport Name,Service Level,Hub Type,CY 2004 Boardings,CY 2003 Boardings,% Change
964.0,AZ,FHU,Fort Huachuca Sierra Vista,Sierra Vista Municipal-Libby AAF,GA,None,88.0,553.0,-0.8409
969.0,AZ,LUF,Glendale,Luke AFB,GA,None,84.0,80.0,0.05
1029.0,AZ,CFT,Clifton,Greenlee County,GA,None,60.0,2.0,29.0
1031.0,AZ,DVT,Phoenix,Phoenix Deer Valley,GA,None,60.0,177.0,-0.661
1084.0,AZ,SAD,Safford,Safford Regional,GA,None,45.0,10.0,3.5
1099.0,AZ,MZJ,Marana,Pinal Airpark,GA,None,41.0,0.0,0.0
1175.0,AZ,SEZ,Sedona,Sedona,GA,None,27.0,347.0,-0.9222
1180.0,AZ,L41,Marble Canyon,Marble Canyon,GA,None,26.0,21.0,0.2381
1398.0,AZ,P19,Chandler,Stellar Airpark,GA,None,11.0,2.0,4.5
1441.0,AZ,GYR,Goodyear,Phoenix Goodyear,GA,None,9.0,3.0,2.0
1522.0,AZ,OLS,Nogales,Nogales International,GA,None,7.0,4.0,0.75
1752.0,AZ,TYL,Taylor,Taylor,GA,None,3.0,0.0,0.0
1880.0,AZ,DUG,Douglas,Bisbee Douglas International,GA,None,1.0,0.0,0.0
1881.0,AZ,E63,Gila Bend,Gila Bend Municipal,GA,None,1.0,0.0,0.0
